name,NSE Code,BSE Code,Sector,industry,revenue,operating expenses,operating profit,Operating Profit Margin,Depreciation,Interest,Profit Before Tax,Tax,Net Profit,EPS,Profit TTM,EPS TTM
Bajaj Finance Ltd.,BAJFINANCE,500034,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),"13,381.80","2,851.50","9,449.70",70.63%,158.5,"4,537.10","4,757.60","1,207","3,550.80",58.7,"13,118.50",216.7
Bajaj Finserv Ltd.,BAJAJFINSV,532978,DIVERSIFIED,HOLDING COMPANIES,"26,022.70","14,992.20","9,949.90",38.24%,208.8,"4,449.10","5,292","1,536.50","1,929",12.1,"7,422.60",46.6
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,500490,DIVERSIFIED,HOLDING COMPANIES,240.1,33.5,191.2,85.08%,8.4,0.2,197.9,73.9,"1,491.20",134,"5,545.10",498.3
Balkrishna Industries Ltd.,BALKRISIND,502355,AUTOMOBILES & AUTO COMPONENTS,AUTO TYRES & RUBBER PRODUCTS,"2,360.30","1,720.50",532.7,23.64%,160.4,23.9,455.5,108.1,347.4,18,"1,047.50",54.2
Balrampur Chini Mills Ltd.,BALRAMCHIN,500038,FOOD BEVERAGES & TOBACCO,SUGAR,"1,649","1,374.60",164.9,10.71%,41.2,17.2,215.9,56.6,166.3,8.2,540.5,26.8
Bank of Baroda,BANKBARODA,532134,BANKING AND FINANCE,BANKS,"35,766","8,430.40","9,807.90",33.52%,0,"17,527.70","6,022.80","1,679.70","4,458.40",8.5,"18,602.90",35.9
Bank of India,BANKINDIA,532149,BANKING AND FINANCE,BANKS,"16,779.40","3,704.90","3,818.80",25.35%,0,"9,255.70","2,977.40","1,488.60","1,498.50",3.6,"5,388.70",13.1
Bata India Ltd.,BATAINDIA,500043,RETAILING,FOOTWEAR,834.6,637.5,181.7,22.18%,81.7,28.4,46.1,12.1,34,2.6,289.7,22.5
Berger Paints (India) Ltd.,BERGEPAINT,509480,DIVERSIFIED CONSUMER SERVICES,FURNITURE-FURNISHING-PAINTS,"2,782.60","2,293.70",473.6,17.12%,82.9,21.1,385,96.7,291.6,2.5,"1,032.60",8.9
Bharat Electronics Ltd.,BEL,500049,GENERAL INDUSTRIALS,DEFENCE,"4,146.10","2,994.90","1,014.20",25.30%,108.3,1.5,"1,041.50",260.7,789.4,1.1,"3,323",4.5
Bharat Forge Ltd.,BHARATFORG,500493,GENERAL INDUSTRIALS,OTHER INDUSTRIAL PRODUCTS,"3,826.70","3,152.80",621.4,16.47%,211.3,124.3,336.1,121.8,227.2,4.9,783.7,16.8
Bharat Heavy Electricals Ltd.,BHEL,500103,GENERAL INDUSTRIALS,HEAVY ELECTRICAL EQUIPMENT,"5,305.40","5,513",-387.7,-7.56%,59.9,180.4,-447.9,-197.9,-238.1,-0.7,71.3,0.2
Bharat Petroleum Corporation Ltd.,BPCL,500547,OIL & GAS,REFINERIES/PETRO-PRODUCTS,"103,720","90,103.90","12,940.50",12.56%,"1,605.30",973.2,"10,755.70","2,812.20","8,243.50",38.7,"27,505.30",129.2
Bharti Airtel Ltd.,BHARTIARTL,532454,TELECOM SERVICES,TELECOM SERVICES,"37,374.20","17,530.10","19,513.70",52.68%,"9,734.30","5,185.80","3,353.70","1,846.50","1,340.70",2.4,"7,547",13.2
Indus Towers Ltd.,INDUSTOWER,534816,TELECOM SERVICES,OTHER TELECOM SERVICES,"7,229.70","3,498.80","3,633.70",50.95%,"1,525.60",458.6,"1,746.70",452,"1,294.70",4.8,"3,333.50",12.4
Biocon Ltd.,BIOCON,532523,PHARMACEUTICALS & BIOTECHNOLOGY,BIOTECHNOLOGY,"3,620.20","2,720.70",741.6,21.42%,389.3,247.7,238.5,41.6,125.6,1.1,498.4,4.2
Birla Corporation Ltd.,BIRLACORPN,500335,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,"2,313.20","1,997",288.9,12.64%,143.5,95.4,77.1,18.8,58.4,7.6,153.1,19.9
Blue Dart Express Ltd.,BLUEDART,526612,TRANSPORTATION,TRANSPORTATION - LOGISTICS,"1,329.70","1,101.80",222.7,16.82%,110.6,19.5,97.9,24.8,73.1,30.8,292.4,123.2
Blue Star Ltd.,BLUESTARCO,500067,CONSUMER DURABLES,CONSUMER ELECTRONICS,"1,903.40","1,767.70",122.7,6.49%,23,17.6,95,24.3,70.7,3.6,437.7,21.3
Bombay Burmah Trading Corporation Ltd.,BBTC,501425,FOOD BEVERAGES & TOBACCO,TEA & COFFEE,"4,643.50","3,664.70",859.2,18.99%,74.7,154.6,697.1,212.6,122,17.5,"-1,499.50",-214.8
Bosch Ltd.,BOSCHLTD,500530,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,"4,284.30","3,638.80",491.3,11.90%,101.3,12.2,"1,317",318.1,999.8,339,"2,126.90",721
Brigade Enterprises Ltd.,BRIGADE,532929,REALTY,REALTY,"1,407.90","1,041.80",324.8,23.77%,75.7,110,180.3,67.8,133.5,5.8,298.2,12.9
Britannia Industries Ltd.,BRITANNIA,500825,FMCG,PACKAGED FOODS,"4,485.20","3,560.50",872.4,19.68%,71.7,53.4,799.7,212.1,587.6,24.4,"2,536.20",105.3
CCL Products India Ltd.,CCL,519600,FOOD BEVERAGES & TOBACCO,TEA & COFFEE,608.3,497.7,109.9,18.09%,22.6,18.4,69.7,8.8,60.9,4.6,279.9,21
Crisil Ltd.,CRISIL,500092,BANKING AND FINANCE,OTHER FINANCIAL SERVICES,771.8,544.2,191.7,26.05%,26.5,0.8,200.3,48.3,152,20.8,606.3,82.9
Zydus Lifesciences Ltd.,ZYDUSLIFE,532321,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,"4,422.80","3,222.70","1,146.10",26.23%,184.2,8.7,"1,007.20",226.4,800.7,7.9,"2,807.10",27.7
Can Fin Homes Ltd.,CANFINHOME,511196,BANKING AND FINANCE,HOUSING FINANCE,871,49.7,749.2,86.01%,2.8,548.4,198,39.9,158.1,11.9,658.8,49.5
Canara Bank,CANBK,532483,BANKING AND FINANCE,BANKS,"33,891.20","8,250.30","7,706.60",28.24%,0,"17,934.30","5,098","1,420.60","3,860",20.9,"13,968.40",77
Carborundum Universal Ltd.,CARBORUNIV,513375,GENERAL INDUSTRIALS,OTHER INDUSTRIAL PRODUCTS,"1,166",978.8,167.5,14.61%,45.9,4.9,136.4,43.7,101.9,5.4,461.3,24.3
Castrol India Ltd.,CASTROLIND,500870,OIL & GAS,OIL MARKETING & DISTRIBUTION,"1,203.20",914.4,268.6,22.70%,22.9,2.4,263.5,69.1,194.4,2,815.5,8.2
Ceat Ltd.,CEATLTD,500878,AUTOMOBILES & AUTO COMPONENTS,AUTO TYRES & RUBBER PRODUCTS,"3,063.80","2,597.20",456.1,14.94%,124.5,71.7,270.4,68.3,208,51.4,521.7,129
Central Bank of India,CENTRALBK,532885,BANKING AND FINANCE,BANKS,"8,438.50","2,565.40","1,535.40",20.81%,0,"4,337.70",567.2,-41.5,622,0.7,"2,181.40",2.5
Century Plyboards (India) Ltd.,CENTURYPLY,532548,FOREST MATERIALS,FOREST PRODUCTS,"1,011.40",852.5,144.3,14.47%,23.4,6.1,129.4,32.2,96.9,4.4,380.7,17.1
Cera Sanitaryware Ltd.,CERA,532443,DIVERSIFIED CONSUMER SERVICES,FURNITURE-FURNISHING-PAINTS,476.2,387.2,76.5,16.49%,8.9,1.4,77.2,19.8,56.9,43.8,232.4,178.7
Chambal Fertilisers & Chemicals Ltd.,CHAMBLFERT,500085,FERTILIZERS,FERTILIZERS,"5,467.30","4,770.50",615,11.42%,78.4,45.8,572.6,200.2,381,9.2,"1,137.70",27.3
Cholamandalam Investment & Finance Company Ltd.,CHOLAFIN,511243,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),"4,695.20",987.6,"3,235.10",69.99%,38.5,"2,204.20","1,065",288.8,772.9,9.4,"3,022.80",36.7
Cipla Ltd.,CIPLA,500087,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,"6,854.50","4,944.40","1,733.80",25.96%,290,25.8,"1,594.20",438.4,"1,130.90",14,"3,449.10",42.7
City Union Bank Ltd.,CUB,532210,BANKING AND FINANCE,BANKS,"1,486.10",333.9,386.6,29.65%,0,765.6,330.6,50,280.6,3.8,943.8,12.7
Coal India Ltd.,COALINDIA,533278,METALS & MINING,COAL,"34,760.30","24,639.40","8,137",24.83%,"1,178.20",182.5,"8,760.20","2,036.50","6,799.80",11,"28,059.60",45.5
Colgate-Palmolive (India) Ltd.,COLPAL,500830,FMCG,PERSONAL PRODUCTS,"1,492.10",989,482.1,32.77%,44.3,1.1,457.8,117.8,340.1,12.5,"1,173.20",43.1
Container Corporation of India Ltd.,CONCOR,531344,COMMERCIAL SERVICES & SUPPLIES,WAREHOUSING AND LOGISTICS,"2,299.80","1,648.40",546.5,24.90%,153.1,16.5,481.8,119,367.4,6,"1,186.20",19.5
Coromandel International Ltd.,COROMANDEL,506395,FERTILIZERS,FERTILIZERS,"7,032.90","5,929.40","1,058.70",15.15%,54,46.2,"1,003.30",245,756.9,25.7,"2,024.20",68.8
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,539876,CONSUMER DURABLES,HOUSEHOLD APPLIANCES,"1,797.20","1,607.80",174.5,9.79%,32.1,21.5,135.8,34.9,97.2,1.5,432,6.7
Cummins India Ltd.,CUMMINSIND,500480,GENERAL INDUSTRIALS,INDUSTRIAL MACHINERY,"2,011.30","1,575.40",346.2,18.02%,38.3,6.8,390.9,99.6,329.1,11.9,"1,445.50",52.1
Cyient Ltd.,CYIENT,532175,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,"1,792","1,452.70",325.8,18.32%,65.8,27,240.3,56.7,178.3,16.3,665.6,60.1
DCM Shriram Ltd.,DCMSHRIRAM,523367,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,"2,730","2,593.90",114.1,4.21%,74,14.7,47.5,15.2,32.2,2.1,617.6,39.4
DLF Ltd.,DLF,532868,REALTY,REALTY,"1,476.40",885.3,462.4,34.31%,37,90.2,464,112.2,622.8,2.5,"2,239",9
Dabur India Ltd.,DABUR,500096,FMCG,PERSONAL PRODUCTS,"3,320.20","2,543",660.9,20.63%,98.3,28.1,650.8,144.3,515,2.9,"1,755.70",9.9
Delta Corp Ltd.,DELTACORP,532848,COMMERCIAL SERVICES & SUPPLIES,MISC. COMMERCIAL SERVICES,282.6,170.5,100.1,36.99%,16.9,2.7,92.4,23,69.4,2.6,273.3,10.2
Divi's Laboratories Ltd.,DIVISLAB,532488,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,"1,995","1,430",479,25.09%,95,1,469,121,348,13.1,"1,331.80",50.3
Dr. Lal Pathlabs Ltd.,LALPATHLAB,539524,DIVERSIFIED CONSUMER SERVICES,HEALTHCARE SERVICES,619.4,423.5,177.8,29.57%,35.9,7.8,152.2,41.5,109.3,13.2,301.4,36.1
Dr. Reddy's Laboratories Ltd.,DRREDDY,500124,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,"7,217.60","4,888.80","2,008.30",29.09%,375.5,35.3,"1,912.50",434.5,"1,482.20",89.1,"5,091.20",305.2
EID Parry (India) Ltd.,EIDPARRY,500125,FOOD BEVERAGES & TOBACCO,OTHER FOOD PRODUCTS,"9,210.30","8,002","1,057.50",11.67%,101.2,74.2,"1,032.80",246.8,452.3,25.5,991,55.8
Eicher Motors Ltd.,EICHERMOT,505200,AUTOMOBILES & AUTO COMPONENTS,2/3 WHEELERS,"4,388.30","3,027.40","1,087.20",26.42%,142.5,12.7,"1,205.70",291.1,"1,016.20",37.1,"3,581",130.8
Emami Ltd.,EMAMILTD,531162,FMCG,PERSONAL PRODUCTS,876,631.2,233.7,27.02%,46.1,2.2,196.4,15.8,178.5,4.1,697.8,16
Endurance Technologies Ltd.,ENDURANCE,540153,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,"2,560.50","2,226.70",318.3,12.51%,118.4,9.8,205.6,51.1,154.6,11,562.8,40
Engineers India Ltd.,ENGINERSIN,532178,COMMERCIAL SERVICES & SUPPLIES,CONSULTING SERVICES,833.6,691.3,98.5,12.47%,8.3,0.4,133.6,32.2,127.5,2.3,472.7,8.4
Escorts Kubota Ltd.,ESCORTS,500495,AUTOMOBILES & AUTO COMPONENTS,COMMERCIAL VEHICLES,"2,154.40","1,798.60",260.7,12.66%,40.8,3.1,311.9,79.7,223.3,20.6,910.5,82.4
Exide Industries Ltd.,EXIDEIND,500086,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,"4,408.90","3,872.40",499.1,11.42%,141.5,29.7,365.3,95.2,269.4,3.2,872.7,10.3
Federal Bank Ltd.,FEDERALBNK,500469,BANKING AND FINANCE,BANKS,"6,548.20","1,603.80","1,400.30",24.18%,0,"3,544.10","1,342.70",342.6,994.1,4.3,"3,671.40",15.6
Finolex Cables Ltd.,FINCABLES,500144,CONSUMER DURABLES,OTHER ELECTRICAL EQUIPMENT/PRODUCTS,"1,229.30","1,041.30",146.1,12.30%,10.8,0.4,176.7,52.3,154.2,10.1,643.9,42.1
Finolex Industries Ltd.,FINPIPE,500940,GENERAL INDUSTRIALS,PLASTIC PRODUCTS,944.5,780.2,103,11.66%,27.4,12.5,124.5,35.4,98,1.6,459.3,7.4
Firstsource Solutions Ltd.,FSL,532809,SOFTWARE & SERVICES,BPO/KPO,"1,556.90","1,311.20",228.8,14.86%,65.4,26.1,154.3,27.8,126.5,1.9,551.7,7.9
GAIL (India) Ltd.,GAIL,532155,UTILITIES,UTILITIES,"33,191","29,405.50","3,580.20",10.85%,837.3,199.6,"2,748.70",696.3,"2,444.10",3.7,"5,283.80",8
GlaxoSmithKline Pharmaceuticals Ltd.,GLAXO,500660,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,985.2,667.5,289.5,30.25%,18.1,0.4,299.2,81.7,217.5,12.8,647.8,38.2
Glenmark Pharmaceuticals Ltd.,GLENMARK,532296,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,"3,209.10","2,745.10",462.3,14.41%,141.5,121.5,-124.4,55.9,-81.9,-2.9,-196.3,-7
Godrej Consumer Products Ltd.,GODREJCP,532424,FMCG,PERSONAL PRODUCTS,"3,667.90","2,897.80",704.2,19.55%,60.9,77.3,619.4,186.6,432.8,4.2,"1,750.10",17.1
Godrej Industries Ltd.,GODREJIND,500164,DIVERSIFIED,DIVERSIFIED,"4,256.90","3,672.10",265.5,6.74%,89.3,333.1,162.4,75.9,87.3,2.6,880,26.1
Godrej Properties Ltd.,GODREJPROP,533150,REALTY,REALTY,605.1,404.7,-61.7,-17.98%,7.4,48,145.1,38.8,66.8,2.4,662.6,23.8
Granules India Ltd.,GRANULES,532482,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,"1,191",976.5,213,17.90%,52.5,26,136,33.9,102.1,4.2,393.9,16.3
Great Eastern Shipping Company Ltd.,GESHIP,500620,TRANSPORTATION,SHIPPING,"1,461.50",585.6,643.4,52.35%,186.7,77.1,611.9,17.3,594.7,41.6,"2,520.10",176.5
Gujarat Alkalies & Chemicals Ltd.,GUJALKALI,530001,CHEMICALS & PETROCHEMICALS,COMMODITY CHEMICALS,"1,042.30",926.1,45.2,4.65%,95.2,10.8,10.2,-0.1,-18.4,-2.5,82.7,11.3
Gujarat Gas Ltd.,GUJGASLTD,539336,UTILITIES,UTILITIES,"4,019.30","3,494.50",496.6,12.44%,117.9,7.8,399.1,102.9,296.2,4.3,"1,254.30",18.2
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC,500670,FERTILIZERS,FERTILIZERS,"2,232","1,911",169,8.12%,78,1,242,64,182,11.7,932,60.1
Gujarat Pipavav Port Ltd.,GPPL,533248,TRANSPORTATION,MARINE PORT & SERVICES,270.4,102,150.6,59.64%,28.8,2.2,141.1,53.4,92.3,1.9,341.8,7.1
Gujarat State Fertilizer & Chemicals Ltd.,GSFC,500690,FERTILIZERS,FERTILIZERS,"3,313.20","2,881.40",237.3,7.61%,45.7,1.6,387,78.1,308.9,7.8,"1,056.20",26.5
Gujarat State Petronet Ltd.,GSPL,532702,UTILITIES,UTILITIES,"4,455.90","3,497.20",913.7,20.72%,165,14.5,779.2,198.7,454.6,8.1,"1,522",27
HCL Technologies Ltd.,HCLTECH,532281,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,"27,037","20,743","5,929",22.23%,"1,010",156,"5,128","1,295","3,832",14.2,"15,445",56.9
HDFC Bank Ltd.,HDFCBANK,500180,BANKING AND FINANCE,BANKS,"107,566.60","42,037.60","24,279.10",32.36%,0,"41,249.90","20,967.40","3,655","16,811.40",22.2,"54,474.60",71.8
Havells India Ltd.,HAVELLS,517354,CONSUMER DURABLES,OTHER ELECTRICAL EQUIPMENT/PRODUCTS,"3,952.80","3,527",373.4,9.57%,81.2,9.3,335.3,86.2,249.1,4,"1,177.70",18.8
Hero MotoCorp Ltd.,HEROMOTOCO,500182,AUTOMOBILES & AUTO COMPONENTS,2/3 WHEELERS,"9,741.20","8,173.50","1,359.50",14.26%,187.1,25,"1,355.60",353.1,"1,006.30",50.3,"3,247.60",162.5
HFCL Ltd.,HFCL,500183,TELECOMMUNICATIONS EQUIPMENT,TELECOM CABLES,"1,128.70",978.9,132.6,11.93%,21.4,34.8,93.5,24,69.4,0.5,305.5,2.1
Hindalco Industries Ltd.,HINDALCO,500440,METALS & MINING,ALUMINIUM AND ALUMINIUM PRODUCTS,"54,632","48,557","5,612",10.36%,"1,843","1,034","3,231","1,035","2,196",9.9,"8,423",37.9
Hindustan Copper Ltd.,HINDCOPPER,513599,METALS & MINING,COPPER,392.6,260.2,121.2,31.77%,45.6,4.1,82.6,21.9,60.7,0.6,320.5,3.3
Hindustan Petroleum Corporation Ltd.,HINDPETRO,500104,OIL & GAS,REFINERIES/PETRO-PRODUCTS,"96,093.40","87,512","8,240",8.61%,"1,247.30",590,"6,744.10","1,616","5,827",41.1,"16,645",117.3
Hindustan Unilever Ltd.,HINDUNILVR,500696,FMCG,PERSONAL PRODUCTS,"15,806","11,826","3,797",24.30%,297,88,"3,590",931,"2,656",11.3,"10,284",43.8
Hindustan Zinc Ltd.,HINDZINC,500188,METALS & MINING,ZINC,"7,014","3,652","3,139",46.22%,825,232,"2,305",576,"1,729",4.1,"8,432",20
Housing and Urban Development Corporation Ltd.,HUDCO,540530,BANKING AND FINANCE,HOUSING FINANCE,"1,880.80",82.7,"1,809.60",97.04%,2.4,"1,216.80",606.4,154.7,451.6,2.3,"1,790.70",8.9
ITC Ltd.,ITC,500875,FOOD BEVERAGES & TOBACCO,CIGARETTES-TOBACCO PRODUCTS,"18,439.30","11,320.20","6,454.20",36.31%,453,9.9,"6,656.20","1,700.30","4,898.10",3.9,"20,185.10",16.2
ICICI Bank Ltd.,ICICIBANK,532174,BANKING AND FINANCE,BANKS,"57,292.30","23,911","15,473.20",39.74%,0,"17,908","14,824.20","3,808.80","11,805.60",15.6,"41,086.80",58.7
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,540133,BANKING AND FINANCE,LIFE INSURANCE,"17,958.10","17,612.30",-229.6,-1.32%,0,0,340.2,32.5,243.9,1.7,906.9,6.3
IDBI Bank Ltd.,IDBI,500116,BANKING AND FINANCE,BANKS,"7,063.70","1,922.30","2,175.30",36.02%,0,"2,966.10","2,396.90","1,003.70","1,385.40",1.3,"4,776.30",4.4
IDFC First Bank Ltd.,IDFCFIRSTB,539437,BANKING AND FINANCE,BANKS,"8,765.80","3,849","1,511.20",20.54%,0,"3,405.60",982.8,236,746.9,1.1,"2,911.10",4.3
IDFC Ltd.,IDFC,532659,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),36.7,6,30.6,83.56%,0,0,30.6,6.6,223.5,1.4,"4,147.10",25.9
IRB Infrastructure Developers Ltd.,IRB,532947,CEMENT AND CONSTRUCTION,ROADS & HIGHWAYS,"1,874.50",950.4,794.6,45.54%,232.7,434.6,256.9,85.8,95.7,0.2,501,0.8
ITI Ltd.,ITI,523610,TELECOMMUNICATIONS EQUIPMENT,TELECOM EQUIPMENT,256.1,299.3,-52.8,-21.42%,13.3,69.3,-125.8,0,-126,-1.3,-388.4,-4
Vodafone Idea Ltd.,IDEA,532822,TELECOM SERVICES,TELECOM SERVICES,"10,750.80","6,433.50","4,282.80",39.97%,"5,667.30","6,569","-7,919",817.7,"-8,737.90",-1.8,"-30,986.80",-6.4
India Cements Ltd.,INDIACEM,530005,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,"1,272.40","1,260",4.4,0.35%,55,60.4,-103,-17.4,-80.1,-2.6,-261.1,-8.4
Indiabulls Housing Finance Ltd.,IBULHSGFIN,535789,BANKING AND FINANCE,HOUSING FINANCE,"2,242.30",190.6,"1,779.20",79.88%,22.9,"1,349.80",421.6,123.6,298,6.5,"1,146",24.3
Indian Bank,INDIANB,532814,BANKING AND FINANCE,BANKS,"15,929.40","3,599.10","4,327.70",31.44%,0,"8,002.60","2,776.70",768.6,"2,068.50",16.6,"6,893.30",55.3
Indian Hotels Company Ltd.,INDHOTEL,500850,HOTELS RESTAURANTS & TOURISM,HOTELS,"1,480.90","1,078.40",354.8,24.75%,111.2,59,232.2,72.3,166.9,1.2,"1,100.30",7.7
Indian Oil Corporation Ltd.,IOC,530965,OIL & GAS,OIL MARKETING & DISTRIBUTION,"179,752.10","156,013.10","23,328.40",13.01%,"3,609.60","2,135","18,090.20","4,699.70","13,114.30",9.5,"38,614.30",27.3
Indian Overseas Bank,IOB,532388,BANKING AND FINANCE,BANKS,"6,941.50","1,785.10","1,679.80",28.84%,0,"3,476.60",635.5,8.3,627.2,0.3,"2,341.90",1.2
Indraprastha Gas Ltd.,IGL,532514,UTILITIES,UTILITIES,"3,520.20","2,801.60",656.9,18.99%,102.2,2.5,613.9,151.4,552.7,7.9,"1,806.20",25.8
